id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
1,CDS,cde_fo,EURINR,1001,FUTCUR,XX,-1,EURINR23JUNFUT,EURINR23JUNFUT,EURINR 27JUN23 FUT,27-06-2023,1,0.0025,,,
2,CDS,cde_fo,EURINR,1002,FUTCUR,XX,-1,EURINR23JULFUT,EURINR23714FUT,EURINR 14JUL23 FUT,14-07-2023,1,0.0025,,,
3,CDS,cde_fo,GBPINR,1003,OPTCUR,CE,96.25,GBPINR18AUGUST2396.25CE,GBPINR2381896.25CE,GBPINR 18AUG23 96.25 CE,18-08-2023,1,0.0025,96,25,96.25
4,CDS,cde_fo,GBPINR,1004,OPTCUR,PE,96.25,GBPINR18AUGUST2396.25PE,GBPINR2381896.25PE,GBPINR 18AUG23 96.25 PE,18-08-2023,1,0.0025,96,25,96.25
5,CDS,cde_fo,EURINR,1005,OPTCUR,CE,95.5,EURINR04AUGUST2395.5CE,EURINR2380495.5CE,EURINR 04AUG23 95.5 CE,04-08-2023,1,0.0025,95,5,95.5
6,CDS,cde_fo,EURUSD,1006,FUTCUR,XX,-1,EURUSD23JUNFUT,EURUSD23JUNFUT,EURUSD 27JUN23 FUT,27-06-2023,1,0.0001,,,
7,CDS,cde_fo,EURINR,1007,FUTCUR,XX,-1,EURINR23OCTFUT,EURINR23OCTFUT,EURINR 27OCT23 FUT,27-10-2023,1,0.0025,,,
8,CDS,cde_fo,EURINR,1008,OPTCUR,CE,83.75,EURINR07JULY2383.75CE,EURINR2370783.75CE,EURINR 07JUL23 83.75 CE,07-07-2023,1,0.0025,83,75,83.75
9,CDS,cde_fo,11NSETEST,1009,FUTCUR,XX,-1,11NSETEST36DECFUT,11NSETEST36DFUT,11NSETEST 30DEC36 FUT,30-12-2036,1,0.0025,,,
10,CDS,cde_fo,JPYINR,1011,OPTCUR,CE,54.5,JPYINR28JULY2354.5CE,JPYINR2372854.5CE,JPYINR 28JUL23 54.5 CE,28-07-2023,1,0.0025,54,5,54.5
11,CDS,cde_fo,GBPINR,1012,OPTCUR,CE,96.5,GBPINR18AUGUST2396.5CE,GBPINR2381896.5CE,GBPINR 18AUG23 96.5 CE,18-08-2023,1,0.0025,96,5,96.5
12,CDS,cde_fo,JPYINR,1013,OPTCUR,PE,54.5,JPYINR28JULY2354.5PE,JPYINR2372854.5PE,JPYINR 28JUL23 54.5 PE,28-07-2023,1,0.0025,54,5,54.5
13,CDS,cde_fo,GBPINR,1014,OPTCUR,PE,96.5,GBPINR18AUGUST2396.5PE,GBPINR2381896.5PE,GBPINR 18AUG23 96.5 PE,18-08-2023,1,0.0025,96,5,96.5
14,CDS,cde_fo,EURINR,1015,FUTCUR,XX,-1,EURINR24MARFUT,EURINR24MARFUT,EURINR 28MAR24 FUT,28-03-2024,1,0.0025,,,
15,CDS,cde_fo,EURUSD,1017,FUTCUR,XX,-1,EURUSD24MARFUT,EURUSD24MARFUT,EURUSD 28MAR24 FUT,28-03-2024,1,0.0001,,,
16,CDS,cde_fo,EURINR,1020,OPTCUR,PE,83.75,EURINR07JULY2383.75PE,EURINR2370783.75PE,EURINR 07JUL23 83.75 PE,07-07-2023,1,0.0025,83,75,83.75
17,CDS,cde_fo,EURUSD,1022,OPTCUR,CE,0.935,EURUSD27JUNE230.935CE,EURUSD23JUN0.935CE,EURUSD 27JUN23 0.935 CE,27-06-2023,1,0.0001,,935,.935
